Rank,Field,Early Career Pay,Mid-Career Pay,% High Meaning
1,Petroleum Engineering,"$93,200","$187,300",67%
2,Operations Research & Industrial Engineering,"$84,800","$170,400",28%
3,Electrical Engineering & Computer Science (EECS),"$108,500","$159,300",46%
4,Interaction Design,"$68,300","$155,800",55%
5,Public Accounting,"$59,800","$147,700",47%
6,Operations Research,"$83,500","$147,400",54%
7,Applied Economics and Management,"$66,100","$146,400",67%
8,Business Computing (BC),"$73,000","$143,600",-
9,Actuarial Mathematics,"$64,300","$143,400",51%
10,Electrical Power Engineering,"$76,100","$142,600",68%
11,Information & Computer Science,"$58,600","$140,900",62%
12,Aeronautics & Astronautics,"$77,600","$139,600",56%
13,Systems Engineering,"$77,700","$139,200",53%
14,Econometrics,"$64,200","$139,000",35%
15,Pharmacy,"$68,600","$138,700",78%
16,Aerospace Studies,"$55,800","$136,600",-
17,Building Science,"$53,800","$135,900",53%
17,Chemical Engineering,"$76,900","$135,900",55%
19,Cognitive Science,"$68,700","$135,200",42%
20,Actuarial Science,"$67,700","$134,400",43%
21,Political Economy,"$65,100","$133,500",29%
22,Computer Systems Engineering,"$79,000","$133,200",51%
23,Electrical & Computer Engineering (ECE),"$78,100","$131,600",49%
24,Computer Science (CS) & Engineering,"$79,400","$131,300",44%
24,Marine Engineering,"$79,900","$131,300",60%
26,Aeronautical Engineering,"$74,700","$131,100",66%
27,Computer Engineering (CE),"$79,000","$131,000",46%
28,Naval Architecture & Marine Engineering,"$74,400","$130,700",49%
29,Entrepreneurship & Marketing,"$51,400","$129,800",45%
30,Corporate Accounting & Finance,"$65,200","$129,700",55%
31,Mechatronics,"$72,800","$129,600",48%
32,Nuclear Engineering,"$76,400","$129,400",62%
33,Electrical Engineering (EE),"$75,600","$127,700",54%
33,Foreign Affairs,"$54,800","$127,700",36%
35,Marine Transportation Management,"$71,100","$127,500",-
36,Mechanical & Aeronautical Engineering,"$70,900","$126,900",60%
37,Welding Engineering,"$81,000","$126,600",56%
38,Instrumentation & Control Engineering,"$73,100","$126,400",-
39,Computational & Applied Mathematics,"$75,500","$126,000",45%
40,Electrical & Electronics Engineering (EEE),"$74,700","$125,800",56%
41,Aerospace Engineering,"$74,300","$125,700",55%
42,Astronomy,"$66,600","$125,400",47%
42,Optical Science & Engineering,"$71,000","$125,400",-
42,Quantitative Business Analysis,"$74,000","$125,400",37%
45,Computer Science (CS) & Mathematics,"$70,500","$125,100",43%
46,Industrial & Systems Engineering,"$73,100","$124,800",48%
47,Economics and Mathematics,"$68,200","$124,100",35%
48,Biomedical Engineering (BME),"$71,300","$123,600",72%
48,Managerial Economics,"$65,200","$123,600",41%
50,Computer Science (CS),"$75,100","$123,400",42%
50,Physics & Astronomy,"$56,500","$123,400",36%
52,Petroleum Land Management,"$59,300","$123,100",-
52,Bioscience,"$49,200","$123,100",-
54,Electronics & Communications Engineering,"$67,400","$122,900",51%
55,Control Engineering,"$69,700","$122,800",61%
56,Pharmacology,"$57,700","$122,700",-
57,Business Analysis,"$63,200","$122,300",46%
58,Aeronautical Science & Engineering,"$56,000","$122,200",50%
58,Metallurgical Engineering,"$81,800","$122,200",61%
60,Engineering Science,"$67,900","$122,100",45%
61,Applied Mathematics,"$68,300","$122,000",40%
62,Chemical & Biomolecular Engineering,"$76,800","$121,900",48%
63,Materials Science,"$67,100","$121,800",-
64,Engineering,"$69,900","$121,700",59%
65,Ocean Engineering (OE),"$69,400","$121,400",51%
66,Bioengineering (BioE),"$70,900","$121,300",67%
67,Aeronautical/Aerospace Engineering Technology,"$76,900","$121,200",53%
68,Integrated Science & Technology,"$65,200","$121,100",56%
69,Operations Management & Information Systems,"$66,100","$120,900",38%
70,Software Engineering,"$75,000","$120,000",43%
71,Physics,"$65,900","$119,700",48%
72,Quantitative Economics,"$65,000","$119,600",43%
73,Computer & Information Science,"$63,600","$119,500",55%
74,Geophysics,"$58,000","$119,000",47%
75,Accounting & Economics,"$65,900","$118,900",44%
76,Physician Assistant Studies,"$95,900","$118,500",84%
77,Mining Engineering,"$78,800","$118,300",64%
78,Construction Engineering Management,"$68,800","$118,200",57%
79,Mechanical Engineering (ME),"$71,000","$117,600",50%
80,Materials Science & Engineering,"$72,700","$117,500",47%
81,Engineering Mechanics,"$75,500","$117,400",-
81,Industrial Engineering (IE),"$71,900","$117,400",44%
81,International Business & Finance,"$61,400","$117,400",31%
84,Accounting & Computer Systems,"$63,000","$117,300",37%
85,Business & Information Technology (IT),"$60,100","$116,900",44%
86,Applied Physics,"$67,300","$116,500",52%
87,International Economics,"$58,700","$116,300",48%
88,Business & Economics,"$59,600","$116,200",46%
89,Ceramic Engineering,"$69,200","$115,700",-
89,Economics,"$62,000","$115,700",41%
89,Pharmaceutical Sciences (PS),"$52,800","$115,700",69%
92,Telecommunications Engineering,"$66,400","$115,400",47%
93,Information & Decision Sciences,"$65,200","$115,200",33%
93,Materials Engineering,"$72,300","$115,200",58%
93,Paper Science,"$77,000","$115,200",39%
96,Asian Studies,"$47,700","$115,100",41%
96,Structural Engineering (SE),"$67,800","$115,100",66%
98,Industrial Distribution,"$63,600","$115,000",48%
99,Management Information Systems (MIS),"$65,000","$114,100",42%
100,Electronics Engineering,"$69,600","$113,900",66%
100,Finance & Economics,"$62,600","$113,900",42%
102,Medical Science,"$52,000","$113,800",-
102,Japanese Studies,"$51,500","$113,800",21%
102,Automotive Engineering,"$67,300","$113,800",48%
105,Information Management,"$64,300","$112,800",38%
106,Management Science,"$64,600","$112,700",43%
106,Mechanical,"$70,200","$112,700",54%
108,Construction Engineering,"$67,300","$112,500",59%
109,Finance & Investments,"$64,100","$112,400",44%
109,Mathematics & Statistics,"$63,100","$112,400",43%
111,Information Systems Management,"$59,200","$112,300",49%
112,Construction Project Management,"$61,100","$112,200",58%
112,Engineering Management,"$69,000","$112,200",57%
112,Packaging Science,"$70,000","$112,200",35%
115,Industrial Engineering & Management,"$68,300","$112,000",55%
116,Engineering Physics,"$70,500","$111,800",50%
117,Energy Management,"$72,300","$111,700",71%
118,Aeronautical Science,"$57,700","$111,600",57%
119,Government,"$55,100","$111,200",47%
120,Software Applications & Programming,"$59,300","$110,800",45%
121,Astrophysics,"$69,300","$110,700",64%
122,Bioenvironmental Science,"$47,700","$110,500",-
123,Japanese Language,"$53,300","$110,300",42%
124,Business Economics,"$58,400","$110,200",43%
124,Finance & Real Estate,"$63,000","$110,200",44%
126,Manufacturing Engineering,"$69,300","$110,000",47%
127,Atmospheric Science,"$48,700","$109,900",55%
128,Cybersecurity,"$65,600","$109,800",55%
129,Information Security & Assurance,"$61,400","$109,300",47%
130,Medicine,"$60,600","$109,200",92%
131,Civil Engineering (CE),"$65,000","$109,000",65%
132,Environmental Health & Safety Management,"$61,100","$108,800",61%
133,Mathematics,"$63,500","$108,700",45%
134,Applied Economics,"$61,400","$108,600",38%
135,Construction Science,"$67,400","$108,500",63%
135,Political Communication,"$48,800","$108,500",55%
137,Marketing & International Business,"$52,500","$108,400",34%
137,Software Development,"$65,500","$108,400",45%
139,Biochemistry & Molecular Biology,"$53,900","$108,100",71%
140,Computing,"$63,500","$108,000",53%
140,Construction Management,"$63,200","$108,000",58%
142,Accounting & Taxation,"$55,600","$107,800",41%
142,Building Construction (BC),"$67,200","$107,800",52%
142,International & Comparative Politics,"$45,700","$107,800",53%
145,Civil & Environmental Engineering,"$65,300","$107,500",67%
146,Business Information Systems,"$65,000","$107,400",43%
147,Financial Economics,"$63,300","$107,200",41%
147,Sales & Business Marketing,"$55,900","$107,200",51%
149,Plastics Engineering,"$68,400","$107,100",58%
150,Information Technology Management,"$63,400","$107,000",48%
151,Polymer Science & Engineering,"$74,500","$106,900",-
152,Informatics,"$70,300","$106,800",42%
153,Computer Management Information Systems (CMIS),"$55,700","$106,600",47%
153,Information Systems (IS),"$63,900","$106,600",44%
155,Agricultural Economics,"$55,600","$106,300",58%
156,Data Processing,"$65,600","$106,200",45%
157,European Studies,"$47,500","$106,100",46%
158,Biosystems Engineering,"$64,700","$106,000",74%
158,Nuclear Engineering Technology (NET),"$83,500","$106,000",62%
160,Economics & Political Science,"$57,100","$105,700",47%
160,Global & International Studies,"$50,000","$105,700",46%
162,Organic Chemistry,"$44,500","$105,600",-
163,Industrial Hygiene,"$58,600","$105,500",55%
163,Safety Science,"$62,400","$105,500",-
165,Commerce,"$66,800","$105,400",40%
165,Rhetoric,"$51,600","$105,400",44%
167,Business Computer Information Systems (BCIS),"$64,000","$105,300",40%
168,Finance,"$60,200","$105,200",42%
169,Plastics Engineering Technology,"$66,900","$105,100",28%
170,Molecular Biology,"$54,100","$105,000",67%
171,Environmental Engineering,"$62,600","$104,800",62%
171,International Management,"$54,100","$104,800",51%
173,Computer Information Systems,"$59,400","$104,700",42%
174,Corporate Finance,"$63,600","$104,300",43%
175,Genetics,"$52,200","$104,100",72%
175,International Business,"$55,300","$104,100",39%
177,Agricultural Engineering (AE),"$63,100","$104,000",63%
178,Consumer Economics,"$53,700","$103,800",40%
179,Finance & Marketing,"$56,800","$103,700",46%
180,Computer Information Systems (CIS),"$60,500","$103,500",47%
181,Business Finance,"$57,200","$103,300",42%
182,Psychobiology,"$49,600","$103,100",65%
182,Strategic Management,"$66,200","$103,100",47%
182,Construction Trades,"$61,900","$103,100",48%
185,Operations Management (OM),"$61,500","$103,000",45%
186,Entrepreneurship & Leadership,"$57,100","$102,900",43%
187,Electrical Engineering Technology (EET),"$66,300","$102,800",47%
188,Computer Science & Information Technology,"$66,000","$102,700",50%
188,Food Marketing,"$56,300","$102,700",24%
190,International Marketing,"$59,000","$102,600",22%
190,Network Engineering,"$60,700","$102,600",55%
192,Building Construction Management,"$61,300","$102,400",63%
193,Engineering Technology (ET),"$58,400","$102,300",47%
194,International Relations,"$52,800","$102,200",49%
194,Management & Finance,"$56,800","$102,200",59%
194,Information Security,"$66,400","$102,200",48%
197,Business Operations,"$63,500","$102,100",-
198,Industrial Management,"$57,800","$102,000",53%
199,Architectural Engineering,"$65,000","$101,900",58%
199,Hotel Administration,"$64,900","$101,900",35%
201,Manufacturing,"$57,600","$101,500",48%
202,Agricultural Economics & Business,"$54,900","$101,400",56%
203,Web Development,"$56,400","$101,300",46%
204,Aviation,"$54,000","$101,200",48%
204,Telecommunications Management,"$55,000","$101,200",42%
206,Property Management,"$55,200","$101,000",47%
207,Comparative Literature,"$48,100","$100,900",46%
208,Construction Science & Management,"$64,700","$100,800",71%
209,Biotechnology,"$53,100","$100,700",59%
210,Industrial & Labor Relations,"$69,800","$100,600",44%
210,Real Estate,"$59,900","$100,600",36%
212,Mechanical Engineering Technology (MET),"$64,200","$100,400",48%
213,Labor Relations,"$53,000","$100,300",41%
214,Electronics,"$57,500","$100,200",63%
215,Biochemistry (BCH),"$50,400","$99,900",62%
215,Politics,"$53,000","$99,900",51%
217,Accounting & Auditing,"$57,800","$99,800",45%
218,Chinese Language,"$54,200","$99,600",43%
219,Information Science (IS),"$66,300","$99,500",36%
220,East Asian Studies,"$49,800","$99,400",42%
221,Accounting & Finance,"$59,200","$99,300",45%
221,Network Security,"$62,300","$99,300",50%
223,Information Technology (IT),"$59,100","$99,200",46%
224,Aviation Management,"$50,900","$99,100",58%
224,Occupational Health and Safety,"$59,900","$99,100",69%
226,Agribusiness,"$50,700","$98,900",53%
226,Business & Marketing,"$51,000","$98,900",45%
226,Computer Engineering Technology (CET),"$63,000","$98,900",47%
229,Computer Security,"$68,100","$98,700",43%
230,Operations & Supply Chain Management,"$61,300","$98,600",45%
231,Entomology,"$45,900","$98,500",-
232,Music Production & Engineering,"$43,100","$98,400",43%
232,Industrial Engineering Technology,"$67,200","$98,400",53%
234,Logistics & Supply Chain Management,"$59,000","$98,300",47%
234,Supply Chain Management,"$61,700","$98,300",41%
234,Accounts,"$59,800","$98,300",44%
237,Economics & Management,"$54,400","$98,200",-
237,Environmental Policy Analysis & Planning,"$51,000","$98,200",65%
237,Physical Therapy,"$55,500","$98,200",88%
240,European History,"$52,300","$98,000",47%
240,Robotics & Automation,"$66,100","$98,000",63%
242,Geological Engineering,"$61,700","$97,900",54%
242,Manufacturing Technology,"$59,900","$97,900",46%
244,Chemistry,"$51,600","$97,500",55%
245,Business Logistics & Transportation,"$56,400","$97,400",44%
246,Food Science & Technology,"$53,100","$97,300",49%
247,City & Regional Planning,"$51,800","$97,200",70%
247,Civil Engineering Technology (CET),"$58,300","$97,200",60%
249,Electronics Engineering Technology (EET),"$64,300","$97,100",50%
249,English & Psychology,"$42,600","$97,100",-
249,Finance & Banking,"$55,300","$97,100",47%
249,Mechanical Design,"$60,900","$97,100",45%
253,Applied Technology,"$55,500","$97,000",62%
254,Marketing & Management,"$50,000","$96,900",45%
255,Technical & Scientific Communication,"$50,700","$96,800",37%
256,Financial Planning,"$54,000","$96,600",63%
256,Organizational Behavior,"$57,000","$96,600",51%
256,Marketing,"$51,700","$96,600",40%
259,Dairy Science,"$51,200","$96,200",68%
259,Project Management,"$56,800","$96,200",58%
261,Government & International Politics (GVIP),"$51,300","$96,100",49%
261,Latin American Studies,"$46,700","$96,100",62%
263,Industrial Design (ID),"$55,100","$95,900",41%
263,Web Design & Development,"$53,100","$95,900",44%
265,Computing & Information Systems (CIS),"$58,100","$95,800",40%
265,Electromechanical Engineering,"$70,500","$95,800",55%
265,Industrial Technology (IT),"$62,200","$95,800",50%
265,Information Technology (IT) & Systems,"$61,100","$95,800",47%
269,Biopsychology,"$53,300","$95,700",74%
269,Government & Politics,"$52,400","$95,700",51%
271,Microbiology & Immunology,"$54,900","$95,400",68%
271,Chemistry & Environmental Science,"$48,200","$95,400",-
273,Interactive Media Design,"$54,000","$95,300",38%
273,Risk Management,"$58,500","$95,300",42%
275,Cell Biology,"$50,100","$95,200",59%
276,Aeronautics,"$62,800","$95,100",64%
277,Welding Engineering Technology,"$74,700","$95,000",42%
278,Finance & Management Information Systems,"$63,900","$94,800",-
279,Computer Science (CS) & Business,"$81,100","$94,600",28%
280,Environmental Science & Policy,"$49,500","$94,500",59%
280,Marketing & Communications,"$49,600","$94,500",45%
280,Safety Management,"$60,100","$94,500",70%
283,Business Technology Management,"$57,400","$94,400",42%
283,Computer Networking Systems,"$55,600","$94,400",49%
285,Biomedical Sciences,"$43,600","$94,300",70%
285,Philosophy,"$52,600","$94,300",41%
285,Sales & Marketing,"$52,700","$94,300",48%
285,Manufacturing Engineering Technology,"$66,000","$94,300",49%
289,Environmental Health & Safety,"$57,600","$94,200",68%
290,Organizational Psychology,"$51,200","$94,100",50%
291,Industrial Psychology,"$50,000","$94,000",50%
291,Political Science,"$50,700","$94,000",47%
291,Real Estate Development,"$57,100","$94,000",-
294,Social Ecology,"$49,000","$93,700",-
295,Risk Management & Insurance,"$59,500","$93,600",46%
296,Radiation Therapy,"$68,400","$93,400",90%
297,French Literature,"$46,400","$93,300",50%
297,Occupational Therapy (OT),"$54,100","$93,300",88%
299,Advertising,"$47,200","$93,200",32%
300,Accounting,"$54,800","$93,100",42%
301,Geology,"$50,400","$93,000",54%
301,Strategic Communication,"$47,100","$93,000",42%
301,Transportation & Logistics Management,"$57,600","$93,000",48%
304,Financial Accounting,"$56,100","$92,900",51%
305,Cell & Molecular Biology,"$51,900","$92,800",68%
305,Industrial Safety,"$55,200","$92,800",78%
305,Insurance,"$56,000","$92,800",43%
305,Manufacturing Management,"$64,000","$92,800",49%
305,Networks & Telecommunications,"$54,300","$92,800",56%
310,Labor Studies,"$46,600","$92,600",49%
310,Digital Media Design,"$46,700","$92,600",31%
310,Advertising & Marketing Communications,"$48,300","$92,600",36%
313,Cinema Studies,"$47,900","$92,500",33%
313,Electronic & Computer Technology,"$63,800","$92,500",58%
313,Marketing Communication,"$45,700","$92,500",39%
316,Construction Technology,"$59,100","$92,400",-
317,Architecture,"$51,000","$92,300",53%
318,Applied Statistics,"$65,900","$92,200",47%
319,Biological Sciences,"$49,300","$92,100",66%
319,Food Science,"$52,500","$92,100",51%
319,Urban & Regional Planning,"$51,800","$92,100",60%
322,Marketing Management,"$51,300","$92,000",42%
323,Computer & Network Administration,"$56,800","$91,900",47%
324,Applied Computer Science,"$66,100","$91,800",44%
325,Sales,"$61,500","$91,600",44%
326,Environmental Design,"$47,700","$91,400",55%
326,Hotel Management,"$49,100","$91,400",44%
328,Advertising Design,"$52,700","$91,300",28%
328,Digital Arts,"$45,600","$91,300",35%
328,Financial Management,"$54,300","$91,300",54%
331,Electronic Systems Technology (EST),"$81,000","$91,200",-
332,Italian Language,"$51,400","$91,100",43%
333,German Studies,"$50,000","$91,000",42%
334,Quality Management,"$57,400","$90,800",60%
335,Microbiology,"$48,400","$90,300",68%
335,Entrepreneurship,"$54,800","$90,300",47%
337,Interactive Media,"$52,700","$90,200",35%
337,Global Business Management,"$55,900","$90,200",52%
337,Network Systems Administration,"$57,900","$90,200",50%
337,Police Science,"$55,400","$90,200",-
341,Hydrology,"$48,700","$90,100",-
342,Business Data Analysis,"$64,700","$90,000",36%
342,Database Management,"$65,900","$90,000",-
342,Spanish Literature,"$51,100","$90,000",50%
345,Business Technology,"$52,800","$89,900",42%
346,Business Management & Marketing,"$48,900","$89,800",48%
347,Technical Management,"$64,400","$89,700",62%
348,Human Biology,"$51,100","$89,600",70%
349,Meteorology,"$46,200","$89,500",57%
350,Computer Graphics Technology (CGT),"$49,000","$89,200",40%
350,Urban Planning,"$50,500","$89,200",53%
352,Aviation Technology,"$58,100","$89,100",49%
352,Environmental Health,"$50,000","$89,100",65%
354,Agricultural Science,"$48,900","$88,900",59%
354,Agronomy,"$50,200","$88,900",65%
354,International Studies,"$50,000","$88,900",51%
357,Design,"$52,800","$88,800",40%
358,Applied Science,"$46,400","$88,700",-
358,Architectural Engineering Technology,"$52,200","$88,700",59%
358,German Language,"$50,700","$88,700",41%
361,Technology,"$56,200","$88,600",64%
362,Advertising & Promotion,"$46,100","$88,500",46%
363,Pre-law,"$46,800","$88,400",45%
364,Digital Media,"$47,300","$88,200",38%
365,Biological Anthropology,"$46,200","$88,100",49%
365,Personal Financial Planning,"$53,800","$88,100",60%
367,Professional Pilot Education,"$63,700","$88,000",-
367,Textile Technology,"$54,000","$88,000",42%
367,Web & Digital Media Development,"$52,300","$88,000",33%
370,Entrepreneurial Studies,"$48,700","$87,900",37%
371,Fashion Design,"$47,500","$87,700",27%
372,Retailing,"$51,300","$87,600",35%
373,Business Communication,"$50,900","$87,300",47%
373,Environmental Science,"$49,100","$87,300",59%
375,Product Design Engineering,"$65,500","$87,200",35%
376,English Literature,"$47,700","$87,000",45%
376,Logistics,"$57,600","$87,000",41%
378,Math & Science,"$55,600","$86,900",66%
379,International Trade & Business,"$54,800","$86,800",27%
379,Pre-Medicine,"$50,800","$86,800",67%
379,Speech & Drama,"$37,500","$86,800",-
379,Toxicology,"$44,600","$86,800",-
383,Advertising & Marketing,"$49,000","$86,700",38%
383,Geographic Information Systems (GIS) & Spatial Analysis,"$54,000","$86,700",57%
383,Marketing & Mass Communications,"$45,400","$86,700",41%
383,Welding Technology,"$48,400","$86,700",-
387,General Business,"$50,200","$86,600",51%
388,Construction Engineering Technology,"$55,800","$86,400",53%
388,Architectural Studies,"$45,400","$86,400",42%
390,Aviation Maintenance Technology,"$51,000","$86,300",60%
391,Communication Studies & Journalism,"$44,800","$86,200",47%
391,Management,"$51,600","$86,200",48%
393,General Science,"$49,100","$86,100",60%
393,Magazine Journalism,"$46,800","$86,100",32%
395,Electronics & Computer Technology,"$55,600","$86,000",-
395,Theatre & Drama Studies,"$44,800","$86,000",49%
397,Animation,"$45,000","$85,900",35%
397,Biology & Chemistry,"$49,200","$85,900",66%
397,Diagnostic Medical Ultrasound,"$67,700","$85,900",67%
397,History & Politics,"$49,500","$85,900",51%
397,Public Affairs,"$52,700","$85,900",50%
397,Romance Languages,"$53,000","$85,900",53%
