Rank,Field,Early Career Pay,Mid-Career Pay,% High Meaning
397,Physiology,"$49,300","$85,900",63%
404,Corporate Communications,"$48,500","$85,700",42%
404,International Affairs,"$51,600","$85,700",52%
404,Nursing Science,"$66,800","$85,700",84%
404,Organizational Development,"$53,800","$85,700",54%
404,Textile & Apparel Studies,"$47,100","$85,700",30%
409,Business Administration,"$52,800","$85,600",50%
409,Business Administration & Accounting,"$52,400","$85,600",55%
409,Philosophy & Religion,"$43,800","$85,600",55%
412,Architectural Design,"$47,700","$85,400",60%
413,Textile Design,"$50,000","$85,200",43%
413,Interpersonal & Organizational Communication,"$42,400","$85,200",56%
415,Geographic Information Systems (GIS),"$50,000","$85,100",52%
416,Business Management,"$51,700","$85,000",51%
417,Linguistics,"$52,100","$84,900",43%
418,French Language,"$49,600","$84,800",47%
419,Communication,"$48,000","$84,700",45%
419,Neuroscience,"$51,800","$84,700",58%
421,Business Management & Human Resources Management (HRM),"$46,800","$84,600",57%
421,Journalism & Mass Communication,"$46,300","$84,600",44%
423,Accounting & Management,"$55,500","$84,500",52%
424,Sociology & Organizational Studies,"$53,500","$84,300",57%
425,Crop Science,"$48,700","$84,200",60%
425,French Studies,"$52,400","$84,200",57%
425,Writing,"$44,200","$84,200",42%
425,Nursing,"$65,000","$84,200",83%
429,History,"$47,800","$84,100",46%
430,Biology,"$47,100","$84,000",65%
430,Land Surveying,"$51,900","$84,000",54%
432,Architectural Technology,"$46,700","$83,900",61%
432,Health Care,"$44,400","$83,900",74%
432,Integrated Marketing Communications,"$47,000","$83,900",36%
435,Agriculture,"$47,700","$83,800",61%
436,Digital Design,"$50,000","$83,600",40%
436,Marketing & Advertising,"$49,300","$83,600",44%
436,Organizational Communication,"$46,400","$83,600",49%
439,Visual Effects & Motion Graphics,"$48,100","$83,400",38%
440,Public Relations & Communication,"$45,700","$83,300",47%
440,General & Strategic Management,"$51,200","$83,300",55%
442,Foreign Languages,"$48,400","$83,100",52%
442,Retail Merchandising,"$50,900","$83,100",31%
444,Agribusiness Management,"$47,700","$83,000",46%
444,Global Business,"$55,800","$83,000",31%
444,Professional & Technical Writing,"$48,500","$83,000",44%
447,Computer Art,"$40,400","$82,900",31%
447,Environmental Management,"$50,200","$82,900",62%
447,Environmental Studies,"$48,500","$82,900",59%
447,Journalism,"$45,900","$82,900",44%
447,Travel Industry Management,"$52,600","$82,900",-
452,International Development Studies,"$47,700","$82,800",64%
452,Natural Sciences,"$45,100","$82,800",55%
452,Retail & Consumer Science,"$51,800","$82,800",32%
452,Literature,"$46,800","$82,800",47%
456,Bachelor in Science Nursing,"$64,000","$82,700",81%
456,History & Political Science,"$50,600","$82,700",50%
456,Museum Studies,"$38,900","$82,700",50%
459,Computer Information Management,"$49,400","$82,600",-
459,Dental Hygiene,"$72,700","$82,600",80%
459,Law,"$54,300","$82,600",53%
459,Network Technology,"$59,800","$82,600",57%
463,Media Studies,"$50,700","$82,400",38%
464,Environmental Geography,"$50,200","$82,300",52%
465,Law Enforcement,"$46,700","$82,200",60%
466,Nuclear Medicine,"$60,300","$81,900",81%
466,Bachelor of Science in Nursing,"$63,800","$81,900",83%
468,Computer Animation,"$46,800","$81,800",36%
468,Landscape Architecture,"$51,500","$81,800",65%
468,Publishing,"$46,300","$81,800",39%
471,Interior Architecture,"$47,600","$81,500",45%
472,Diagnostic Medical Sonography,"$64,300","$81,400",86%
472,Environmental & Natural Resource Economics,"$52,400","$81,400",65%
472,Public Relations (PR),"$45,600","$81,400",42%
472,Workforce Education & Development,"$59,900","$81,400",80%
476,American History (United States),"$50,900","$81,300",52%
477,Drama,"$47,400","$81,100",47%
478,Management (MGT),"$47,000","$81,000",62%
479,Merchandising Management,"$46,800","$80,900",38%
480,Environmental Biology,"$45,000","$80,800",70%
481,Accounting & Business,"$52,400","$80,700",48%
482,Automotive Technology & Service Management,"$48,800","$80,500",32%
482,Speech Communication,"$46,700","$80,500",54%
484,Allied Health,"$44,800","$80,400",78%
485,Agricultural Systems Technology,"$60,500","$80,300",-
485,Emergency Management,"$50,900","$80,300",80%
485,Network Administration,"$48,700","$80,300",56%
488,Communication Management,"$46,000","$80,200",38%
489,Historic Preservation,"$43,400","$80,000",-
490,Broadcast Journalism,"$42,900","$79,900",50%
490,Broadcast & Cinematic Arts,"$42,800","$79,900",43%
492,Automotive Technology,"$48,100","$79,800",47%
492,Business Management & Administration,"$51,400","$79,800",53%
494,Agricultural Business,"$52,700","$79,700",51%
494,Technology Management,"$56,400","$79,700",47%
496,Global Studies,"$51,200","$79,600",46%
496,Professional Studies,"$42,800","$79,600",62%
498,Interpersonal Communications,"$45,000","$79,500",53%
499,Forestry,"$45,900","$79,400",67%
499,Homeland Security,"$49,200","$79,400",72%
501,Ancient History,"$46,000","$79,300",-
501,Botany,"$42,600","$79,300",73%
501,Geography,"$49,700","$79,300",52%
504,Computer Aided Design (CAD),"$48,700","$79,200",-
504,Nutrition Science,"$49,500","$79,200",70%
506,Acting,"$44,200","$79,100",50%
506,Public Management,"$50,200","$79,100",66%
508,Nuclear Medicine Technology,"$61,700","$79,000",82%
509,Apparel & Textile Manufacture,"$48,300","$78,900",37%
509,English Language & Literature,"$46,400","$78,900",44%
509,Urban Studies,"$51,500","$78,900",57%
512,Mass Communication,"$44,800","$78,800",44%
513,Forestry Management,"$48,600","$78,700",71%
513,Radio/Television & Film Production,"$45,700","$78,700",39%
515,Hospital Management,"$53,200","$78,600",45%
516,Human Resources Management (HRM),"$47,900","$78,500",55%
517,Marine Science,"$46,100","$78,400",64%
518,American Sign Language Interpreting,"$43,100","$78,300",87%
518,English & History,"$45,700","$78,300",49%
518,English Language,"$44,600","$78,300",45%
521,Cytotechnology,"$61,900","$78,200",89%
521,Geosciences,"$48,700","$78,200",62%
521,Hospital Administration,"$51,200","$78,200",57%
524,Film Production,"$44,600","$78,100",33%
524,Marine Biology,"$43,300","$78,100",66%
526,Zoology,"$42,100","$77,900",67%
527,Communication Design,"$51,700","$77,800",34%
528,Leadership,"$47,200","$77,500",57%
528,Music Technology,"$44,800","$77,500",39%
528,Musicology,"$40,000","$77,500",-
528,Technical Writing,"$53,300","$77,500",42%
532,Agricultural Communication,"$44,600","$77,400",52%
532,Logistics Management,"$56,300","$77,400",49%
534,German Language & Literature,"$49,400","$77,300",47%
535,Administration,"$44,600","$77,100",58%
535,Apparel Merchandising,"$47,600","$77,100",35%
535,Computer Aided Drafting & Design (CADD),"$49,100","$77,100",52%
535,Organizational Leadership & Supervision,"$49,600","$77,100",51%
535,Printing Technology,"$46,200","$77,100",-
535,Spanish Language,"$47,700","$77,100",51%
541,Multimedia,"$44,700","$77,000",45%
542,Spanish Language Teacher Education,"$45,500","$76,900",73%
542,Public Administration,"$46,700","$76,900",57%
542,Human Nutrition,"$48,600","$76,900",85%
545,Audio Engineering,"$48,300","$76,800",39%
545,Graphics Technology & Management,"$39,500","$76,800",38%
545,Physical Anthropology,"$52,900","$76,800",51%
548,Organizational Leadership,"$50,500","$76,700",58%
549,Environmental Health Science,"$53,800","$76,600",61%
549,Health Sciences,"$44,600","$76,600",70%
551,Journalism & Electronic Media,"$45,200","$76,500",48%
552,Religious Studies,"$43,900","$76,300",55%
553,Art History,"$46,600","$76,200",45%
553,Radiologic Science,"$57,600","$76,200",81%
555,3D Animation,"$51,800","$76,000",42%
556,Culture Studies,"$48,100","$75,900",40%
556,Merchandising,"$53,100","$75,900",31%
558,Administrative Management,"$52,700","$75,800",50%
558,Human Resources (HR),"$47,300","$75,800",56%
558,Liberal Arts,"$44,500","$75,800",53%
561,Adult Education & Training,"$48,700","$75,600",79%
561,Fashion Merchandising,"$46,900","$75,600",29%
561,Health & Fitness,"$39,800","$75,600",67%
564,Natural Resources,"$47,400","$75,500",64%
564,Organizational Management,"$48,800","$75,500",57%
566,Modern Languages,"$50,300","$75,400",53%
566,Natural Resource Management,"$46,500","$75,400",60%
566,Retail Management,"$50,100","$75,400",35%
566,Sociology & Anthropology,"$44,500","$75,400",50%
570,Creative Writing,"$45,300","$75,200",41%
571,Criminal Justice Administration,"$45,700","$75,100",56%
572,Ethnic Studies,"$47,500","$74,900",63%
572,Philosophy & Religious Studies,"$49,300","$74,900",61%
572,Radiology,"$54,800","$74,900",80%
575,Medical Laboratory Technology,"$56,900","$74,400",82%
575,Sports Management,"$45,400","$74,400",43%
577,Anthropology & English,"$48,000","$74,300",-
577,Broadcast Communication,"$40,000","$74,300",44%
577,Criminology,"$44,700","$74,300",54%
577,Earth Science,"$50,000","$74,300",48%
577,Media & Technology,"$45,200","$74,300",43%
577,Visual Communications,"$45,400","$74,300",38%
583,Advertising & Graphic Design,"$46,800","$74,200",37%
583,Applied Behavior Analysis,"$38,700","$74,200",81%
583,Psychology,"$44,700","$74,200",56%
586,Applied Management,"$45,500","$74,100",53%
586,Hotel & Restaurant Management,"$47,300","$74,100",48%
588,Anthropology,"$46,400","$73,900",46%
589,Arts Management,"$39,400","$73,800",48%
589,Diagnostic Medical Imaging,"$60,600","$73,800",73%
591,Communication Arts,"$42,400","$73,600",39%
591,Middle Eastern Studies,"$57,100","$73,600",48%
591,Radiologic Technology,"$55,200","$73,600",83%
591,Painting & Printmaking,"$34,700","$73,600",41%
595,Cardiopulmonary Science,"$48,900","$73,400",90%
595,Human Relations,"$45,000","$73,400",63%
597,Humanities,"$48,500","$73,200",49%
598,Health Care Administration,"$45,800","$73,100",69%
599,Health Care Management,"$46,700","$73,000",72%
599,Life Sciences,"$53,100","$73,000",64%
601,Ecology,"$46,400","$72,900",57%
601,Media Arts,"$46,500","$72,900",34%
603,Respiratory Care,"$54,800","$72,800",84%
604,Art & Design,"$45,100","$72,700",38%
604,Health Information Management,"$49,000","$72,700",69%
604,Hospitality Management,"$46,400","$72,700",43%
607,Health Teacher Education,"$37,900","$72,600",46%
607,Sports Medicine,"$50,100","$72,600",77%
607,Multimedia & Web Design,"$50,200","$72,600",34%
610,Sociology,"$46,200","$72,500",55%
611,Liberal Studies,"$44,300","$72,400",56%
612,Interior Design,"$45,100","$72,300",50%
612,Medical Laboratory Science,"$55,600","$72,300",85%
612,Secondary Education,"$44,600","$72,300",59%
615,Child Psychology,"$38,900","$72,200",64%
615,Exercise Physiology,"$44,100","$72,200",76%
615,Radiography,"$55,300","$72,200",85%
618,Archaeology,"$45,900","$72,100",46%
618,Art Administration,"$40,200","$72,100",56%
618,Hotel & Restaurant Tourism,"$44,300","$72,100",49%
618,Illustration,"$45,200","$72,100",36%
622,Arts & Science,"$45,700","$71,900",-
622,Health,"$44,200","$71,900",73%
622,Turfgrass Management,"$53,100","$71,900",51%
625,Animal Science & Management,"$44,200","$71,800",55%
626,SocialStudies,"$45,800","$71,700",57%
627,Human Resources Development,"$48,600","$71,600",50%
627,Speech Pathology & Audiology,"$44,100","$71,600",78%
629,Clinical Laboratory Science,"$55,100","$71,500",83%
629,Forensic Science,"$46,000","$71,500",64%
629,Health Administration,"$42,700","$71,500",66%
632,Geomatics,"$52,300","$71,400",70%
632,Media Communication,"$47,000","$71,400",45%
634,Health Management,"$45,100","$71,300",-
634,Commercial Photography,"$43,800","$71,300",23%
636,Fashion Design & Marketing,"$45,300","$71,100",44%
636,Mass Media,"$40,300","$71,100",49%
638,Medical Technology,"$56,500","$71,000",81%
639,Respiratory Therapy,"$54,500","$70,900",82%
640,Theater,"$44,600","$70,700",50%
641,Forensic Psychology,"$43,000","$70,600",54%
641,Kinesiology,"$44,800","$70,600",66%
643,Performing Arts,"$45,700","$70,500",57%
643,Psychology & Social Behavior,"$45,800","$70,500",59%
643,Religion,"$44,400","$70,500",59%
643,Radio & Television,"$43,100","$70,500",41%
647,Technology Teacher Education,"$47,700","$70,400",57%
648,Educational Studies (ED),"$40,300","$70,200",65%
648,Music,"$44,300","$70,200",55%
648,Business Leadership,"$50,100","$70,200",45%
651,Drafting & Design,"$51,000","$70,100",69%
651,Plant Sciences,"$48,000","$70,100",60%
653,Criminal Justice,"$42,800","$69,800",56%
653,Web Design,"$49,900","$69,800",25%
655,Graphic Design,"$45,100","$69,700",37%
656,Nutrition,"$48,100","$69,600",65%
656,Nutrition & Dietetics,"$50,800","$69,600",72%
658,Missions,"$41,300","$69,500",-
659,Dramatic Art,"$41,400","$69,400",-
660,Fashion Marketing & Management,"$47,700","$69,100",30%
661,Interdisciplinary Studies (IS),"$44,600","$68,900",56%
662,Hospitality & Tourism,"$44,200","$68,800",41%
662,Human Ecology,"$42,100","$68,800",54%
662,Ornamental Horticulture,"$46,000","$68,800",69%
662,Physical Therapist Assistant Studies,"$49,900","$68,800",85%
662,Public Health (PH),"$46,000","$68,800",69%
667,Art Therapy,"$41,100","$68,600",80%
667,Dietetics,"$51,300","$68,600",74%
667,Landscape Management,"$52,300","$68,600",-
670,Applied Sociology,"$42,200","$68,500",57%
670,Fine Arts,"$43,200","$68,500",44%
670,Modern Language Spanish,"$43,800","$68,500",52%
670,Women's Studies,"$45,200","$68,500",59%
670,Social & Criminal Justice,"$44,800","$68,500",59%
675,Animal Science,"$41,200","$68,300",64%
675,New Media,"$46,000","$68,300",33%
675,Textiles & Clothing,"$45,100","$68,300",47%
678,Event Management,"$41,700","$68,200",40%
679,Family & Consumer Science,"$42,600","$68,000",59%
680,Speech-Language Pathology,"$44,100","$67,900",70%
681,Technical Theatre,"$41,000","$67,600",42%
682,Education,"$44,100","$67,500",65%
682,Foods & Nutrition,"$47,000","$67,500",68%
682,Recreation Management,"$42,300","$67,500",58%
685,Business & Healthcare Management,"$46,900","$67,300",69%
686,Agricultural Teacher Education,"$53,500","$67,100",-
687,Music Composition,"$44,000","$66,900",51%
688,Art,"$43,400","$66,700",46%
688,Psychology & Sociology,"$42,800","$66,700",53%
690,Drawing & Painting,"$42,800","$66,600",48%
691,Nonprofit Management,"$42,300","$66,300",79%
692,Small Business Management,"$47,100","$66,200",38%
693,Behavioral Science,"$43,000","$66,000",62%
694,Horticulture & Agronomy,"$52,500","$65,900",-
695,Health Services Administration,"$42,700","$65,800",63%
695,Multidisciplinary Studies,"$41,800","$65,800",53%
695,Restaurant & Food Service Management,"$43,900","$65,800",45%
698,Consumer Affairs,"$51,000","$65,700",43%
699,Training and Development,"$52,600","$65,600",-
699,Health & Exercise Science,"$41,700","$65,600",67%
699,Electronic Media,"$45,300","$65,600",37%
702,Environmental Resource Management,"$48,700","$65,500",65%
703,Theatre Arts,"$43,500","$65,300",51%
704,Applied Linguistics,"$46,800","$65,200",44%
705,African American & African Studies,"$46,400","$65,100",60%
705,Exercise & Sports Science,"$42,600","$65,100",70%
705,General Studies,"$43,600","$65,100",52%
705,Justice Studies,"$45,300","$65,100",50%
705,Video Production,"$42,800","$65,100",33%
710,Graphic Arts,"$42,700","$64,900",41%
710,Physical Education Teaching,"$42,200","$64,900",69%
712,Health Services Management,"$41,600","$64,800",83%
712,Physical Education & Exercise Science,"$44,100","$64,800",72%
712,Drawing,"$37,400","$64,800",39%
715,Exercise Science,"$41,400","$64,700",73%
716,Printmaking,"$38,400","$64,300",40%
716,Sports Administration,"$43,300","$64,300",47%
716,Theology,"$42,800","$64,300",68%
719,Interior Design & Merchandising,"$43,700","$64,200",37%
719,Recreation & Leisure Studies,"$40,300","$64,200",60%
721,Human Development,"$43,700","$64,100",64%
721,Music Industry,"$45,800","$64,100",38%
721,Wildlife Management,"$39,700","$64,100",49%
721,Supervision & Management,"$41,700","$64,100",57%
725,Health & Wellness,"$40,100","$64,000",70%
725,Culinary Arts & Food Service Management,"$41,300","$64,000",50%
725,Mortuary Science,"$43,500","$64,000",85%
728,Clinical Psychology,"$43,000","$63,900",65%
728,Community Health Education,"$42,600","$63,900",75%
728,Dance,"$45,100","$63,900",62%
731,Speech Pathology,"$42,800","$63,700",69%
732,Gender Studies,"$45,500","$63,600",55%
732,Secondary English Teacher Education,"$42,000","$63,600",64%
734,Photography,"$43,800","$63,500",38%
735,English Teacher Education,"$43,300","$63,100",57%
735,Paralegal Studies,"$39,600","$63,100",50%
735,Social Studies Teacher Education,"$43,400","$63,100",65%
738,Teaching English as a Second Language (ESL),"$42,800","$63,000",73%
738,Music Teacher Education,"$42,000","$63,000",62%
740,Health Promotion,"$42,300","$62,800",69%
740,Recording Arts,"$44,800","$62,800",48%
742,Photojournalism,"$41,900","$62,600",59%
743,Recreation Administration,"$47,000","$62,500",71%
744,Radio Broadcasting,"$46,300","$62,400",33%
745,Sculpture,"$40,300","$62,200",47%
746,Painting,"$40,700","$62,000",44%
746,Psychology & Social Sciences,"$42,600","$62,000",68%
748,Health & Physical Education Teaching,"$38,700","$61,900",65%
749,Organizational Administration,"$45,000","$61,800",-
750,Tourism Management,"$43,100","$61,600",38%
750,Instrumental Music Teacher Education,"$41,700","$61,600",65%
752,Emergency Medical Services (EMS),"$44,200","$61,400",-
753,Community Health,"$45,400","$61,300",72%
754,Health & Human Performance,"$38,100","$61,100",68%
755,Music Therapy,"$43,100","$60,700",93%
756,Social Services,"$39,900","$60,500",82%
757,Rehabilitation Services,"$35,800","$60,200",79%
758,Horticulture,"$43,000","$60,100",59%
759,University Studies,"$42,400","$60,000",49%
760,Church Ministries,"$40,000","$59,900",79%
761,Communicative Disorders,"$47,400","$59,800",73%
761,Social Science Teacher Education,"$45,400","$59,800",-
761,Wildlife Biology,"$42,900","$59,800",60%
764,Community Development,"$44,600","$59,400",63%
764,Psychology & Human Services,"$35,600","$59,400",-
766,Athletic Training,"$42,100","$59,300",75%
767,Biblical Studies,"$40,500","$59,000",72%
768,Biblical Studies & Practical Ministries,"$36,400","$58,900",76%
768,Counseling Psychology,"$42,700","$58,900",64%
768,Recreational Studies,"$42,100","$58,900",69%
768,Teaching,"$42,000","$58,900",72%
772,Home Economics,"$41,800","$58,700",69%
772,Library & Information Science,"$48,200","$58,700",48%
774,Human Development & Family Studies,"$40,300","$58,600",66%
774,Tourism & Travel,"$42,200","$58,600",43%
776,Landscape Design,"$49,000","$58,500",63%
777,Ceramics,"$42,200","$58,300",51%
777,Clinical Social Work (CSW),"$43,500","$58,300",-
777,Parks & Recreation Management,"$42,700","$58,300",56%
780,Pastoral Ministry,"$38,700","$58,000",83%
780,Vocal Performance,"$42,600","$58,000",65%
782,Art Teacher Education,"$40,300","$57,500",62%
782,Bible Studies & Theology,"$40,000","$57,500",67%
784,Forensic Accounting,"$48,300","$57,200",48%
785,Communication Sciences & Disorders,"$43,300","$57,100",76%
785,Legal Assistant Studies,"$38,100","$57,100",38%
787,Special Education,"$41,300","$57,000",76%
788,Conservation Biology,"$42,800","$56,900",57%
789,Family Studies,"$39,200","$56,800",68%
790,Christian Ministry,"$38,100","$56,400",79%
790,Speech & Hearing,"$43,300","$56,400",76%
792,Health and Human Services,"$43,500","$56,300",65%
793,Musical Theatre,"$43,500","$56,100",50%
794,History Teacher Education,"$47,700","$55,600",46%
795,Developmental Psychology,"$38,200","$55,000",-
796,Therapeutic Recreation,"$39,500","$54,900",82%
797,Applied Behavioral Science,"$40,500","$54,600",50%
797,Community & Human Services,"$42,400","$54,600",80%
797,Social Work (SW),"$38,600","$54,600",76%
800,Office Administration,"$38,700","$54,500",65%
801,Ministry,"$36,700","$54,300",81%
801,Family & Community Services,"$42,200","$54,300",74%
803,Youth Ministry,"$37,400","$54,200",76%
804,Elementary Education,"$40,000","$53,800",69%
805,Voice & Opera,"$34,500","$53,300",57%
806,Christian Education,"$38,700","$53,200",82%
806,Conflict Resolution,"$44,400","$53,200",50%
808,Baking & Pastry Arts,"$37,500","$53,000",44%
808,Human Services Management,"$45,600","$53,000",-
810,Hospitality & The Culinary Arts,"$38,800","$52,900",-
811,Human Services (HS),"$38,700","$52,500",71%
812,Counseling,"$39,900","$51,700",78%
813,Recreational Therapy,"$38,400","$51,600",84%
814,Child Development,"$37,400","$51,400",73%
815,Educational Psychology,"$36,900","$51,200",-
816,Middle School Education,"$41,200","$50,800",73%
817,Mental Health Counseling,"$36,100","$50,000",78%
818,Early Childhood & Elementary Education,"$38,000","$48,400",77%
819,Equine Studies,"$35,700","$47,100",50%
820,Addiction Studies,"$38,000","$47,000",84%
821,Child & Family Studies,"$36,400","$46,500",73%
822,Rehabilitation Counseling,"$39,200","$46,400",-
823,Outdoor Education,"$37,400","$46,300",52%
824,Early Childhood Education,"$36,100","$45,400",78%
825,Mental Health,"$36,900","$45,000",-
826,Medical Assisting,"$36,000","$44,800",-
827,Metalsmithing,"$40,000","$40,300",33%
